date,amount,currency,category,description,method,tags
2023-10-01,25.50,USD,food,Lunch at cafe,cash,
2023-10-02,15.00,USD,transport,Bus fare,cash,
2023-10-03,45.00,USD,entertainment,Movie tickets,card,
2023-10-04,120.00,USD,utilities,Electricity bill,card,
2023-10-05,30.00,USD,food,Groceries,cash,
2023-10-06,20.00,USD,transport,Gas,card,
2023-10-07,60.00,USD,shopping,Clothes,card,
2023-10-08,15.00,USD,food,Coffee,cash,
2023-10-09,200.00,USD,healthcare,Doctor visit,card,
2023-10-10,40.00,USD,entertainment,Concert,card,
2023-10-11,80.00,USD,utilities,Internet bill,card,
2023-10-12,35.00,USD,food,Dinner out,cash,
2023-10-13,25.00,USD,transport,Taxi,card,
2023-10-14,50.00,USD,shopping,Books,card,
2023-10-15,100.00,USD,utilities,Phone bill,card,
2023-10-16,22.00,USD,food,Lunch,cash,
2023-10-17,30.00,USD,entertainment,Games,card,
2023-10-18,150.00,USD,healthcare,Dental checkup,card,
2023-10-19,45.00,USD,transport,Train ticket,card,
2023-10-20,65.00,USD,shopping,Electronics,card,
