date,temperature,humidity,rainfall,wind_speed,clouds,location
2023-01-01,15.2,65,0.0,5.2,20,London
2023-01-02,14.8,68,2.1,4.8,35,London
2023-01-03,16.1,62,0.0,6.1,15,London
2023-01-04,13.9,72,5.3,7.2,60,London
2023-01-05,12.4,75,8.7,8.5,75,London
2023-01-06,14.7,69,1.2,5.9,45,London
2023-01-07,16.8,58,0.0,4.2,10,London
2023-01-08,18.2,55,0.0,3.8,5,London
2023-01-09,19.5,52,0.0,4.5,15,London
2023-01-10,17.8,60,0.3,5.8,25,London
2023-01-11,16.4,63,1.8,6.2,40,London
2023-01-12,15.1,67,4.5,7.1,55,London
2023-01-13,14.3,70,6.2,8.3,70,London
2023-01-14,13.8,73,9.1,9.2,80,London
2023-01-15,15.6,65,2.4,6.8,50,London
2023-01-16,17.2,59,0.0,5.1,20,London
2023-01-17,18.9,54,0.0,4.3,10,London
2023-01-18,20.1,51,0.0,3.9,5,London
2023-01-19,19.3,53,0.1,4.7,15,London
2023-01-20,18.7,56,0.0,5.3,20,London
2023-01-21,17.5,61,0.8,6.1,30,London
2023-01-22,16.9,64,1.5,6.7,35,London
2023-01-23,15.8,66,3.2,7.4,45,London
2023-01-24,14.9,69,5.8,8.1,65,London
2023-01-25,13.7,72,7.9,8.9,75,London
2023-01-26,15.4,64,1.9,6.3,40,London
2023-01-27,17.1,58,0.0,4.8,15,London
2023-01-28,18.6,55,0.0,4.1,10,London
2023-01-29,19.8,52,0.0,3.7,5,London
2023-01-30,18.4,57,0.2,5.2,25,London
2023-01-31,17.3,60,0.9,5.9,30,London
2023-02-01,16.7,63,1.3,6.4,35,Dubai
2023-02-02,17.2,61,0.0,5.8,20,Dubai
2023-02-03,18.1,58,0.0,4.9,15,Dubai
2023-02-04,19.3,55,0.0,4.2,10,Dubai
2023-02-05,20.7,52,0.0,3.8,5,Dubai
2023-02-06,21.8,49,0.0,3.5,5,Dubai
2023-02-07,22.4,47,0.0,3.2,0,Dubai
2023-02-08,23.1,45,0.0,3.1,0,Dubai
2023-02-09,23.8,44,0.0,2.9,0,Dubai
2023-02-10,24.2,43,0.0,2.8,0,Dubai
2023-02-11,24.9,42,0.0,2.7,0,Dubai
2023-02-12,25.3,41,0.0,2.6,0,Dubai
2023-02-13,25.7,40,0.0,2.5,0,Dubai
2023-02-14,26.1,39,0.0,2.4,0,Dubai
2023-02-15,26.4,38,0.0,2.3,0,Dubai
2023-02-16,26.8,37,0.0,2.2,0,Dubai
2023-02-17,27.1,36,0.0,2.1,0,Dubai
2023-02-18,27.3,35,0.0,2.0,0,Dubai
2023-02-19,27.6,34,0.0,1.9,0,Dubai
2023-02-20,27.8,33,0.0,1.8,0,Dubai
2023-02-21,27.9,32,0.0,1.7,0,Dubai
2023-02-22,28.1,31,0.0,1.6,0,Dubai
2023-02-23,28.2,30,0.0,1.5,0,Dubai
2023-02-24,28.3,29,0.0,1.4,0,Dubai
2023-02-25,28.4,28,0.0,1.3,0,Dubai
2023-02-26,28.4,27,0.0,1.2,0,Dubai
2023-02-27,28.5,26,0.0,1.1,0,Dubai
2023-02-28,28.5,25,0.0,1.0,0,Dubai
2023-03-01,22.1,68,0.0,4.8,15,Karachi
2023-03-02,23.4,65,0.0,5.1,10,Karachi
2023-03-03,24.7,62,0.0,5.4,5,Karachi
2023-03-04,25.8,59,0.0,5.7,0,Karachi
2023-03-05,26.9,56,0.0,6.0,0,Karachi
2023-03-06,27.8,53,0.0,6.3,0,Karachi
2023-03-07,28.6,51,0.0,6.6,0,Karachi
2023-03-08,29.2,49,0.0,6.9,0,Karachi
2023-03-09,29.8,47,0.0,7.2,0,Karachi
2023-03-10,30.3,45,0.0,7.5,0,Karachi
2023-03-11,30.7,43,0.0,7.8,0,Karachi
2023-03-12,31.1,41,0.0,8.1,0,Karachi
2023-03-13,31.4,39,0.0,8.4,0,Karachi
2023-03-14,31.6,37,0.0,8.7,0,Karachi
2023-03-15,31.8,35,0.0,8.9,0,Karachi
2023-03-16,31.9,33,0.0,9.1,0,Karachi
2023-03-17,32.0,31,0.0,9.2,0,Karachi
2023-03-18,32.1,29,0.0,9.3,0,Karachi
2023-03-19,32.1,27,0.0,9.4,0,Karachi
2023-03-20,32.1,25,0.0,9.4,0,Karachi
2023-03-21,32.1,23,0.0,9.4,0,Karachi
2023-03-22,32.0,21,0.0,9.3,0,Karachi
2023-03-23,31.9,19,0.0,9.2,0,Karachi
2023-03-24,31.7,17,0.0,9.0,0,Karachi
2023-03-25,31.5,15,0.0,8.8,0,Karachi
2023-03-26,31.2,13,0.0,8.5,0,Karachi
2023-03-27,30.9,11,0.0,8.2,0,Karachi
2023-03-28,30.5,9,0.0,7.8,0,Karachi
2023-03-29,30.1,7,0.0,7.4,0,Karachi
2023-03-30,29.6,5,0.0,6.9,0,Karachi
2023-03-31,29.1,3,0.0,6.4,0,Karachi
